2026-05-29 09:00:43.895 DeanF:    might rain...
2026-05-29 08:46:34.179 DeanF:    washing already on the line
2026-05-29 08:46:27.364 DeanF:    all well?
2026-05-29 08:46:18.535 DeanF:    Updated one hour and 18 minutes prior to last poll at 29/05/2026 09:38:01
2026-05-29 08:46:18.535 DeanF:    
2026-05-29 08:46:18.535 DeanF:    METAR EGSH 290820Z 27008KT 240V330 9999 VCSH FEW042 19/12 Q1021
2026-05-29 08:46:18.535 DeanF:    
2026-05-29 08:46:18.535 DeanF:    Rainfall: Showers in the vicinity   
2026-05-29 08:46:18.535 DeanF:    Direction : W
2026-05-29 08:46:18.535 DeanF:    Wind : Gentle breeze strength force 3, speed 8 knots 
2026-05-29 08:46:18.535 DeanF:    Visibility : Daylight, 6+ miles
2026-05-29 08:46:18.535 DeanF:    Clouds : Partly cloudy at 4200 ft. 
2026-05-29 08:46:18.535 DeanF:    Humidity : 64 % 
2026-05-29 08:46:18.535 DeanF:    Temperature: 19 C 
2026-05-29 08:46:18.535 DeanF:    Pressure: 1021 mb 
2026-05-29 08:46:18.535 DeanF:    NORWICH, UNITED KINGDOM 
2026-05-29 08:46:18.535 DeanF:    EGSH NORWICH INTERNATIONAL AIRPORT, 
2026-05-29 08:46:18.535 DeanF:    Friday 29 May 2026 08:20:00 GMT+0000 (GMT Standard Time)
2026-05-29 08:45:54.793 DeanF:    Good Morning!
2026-05-28 22:13:22.046 DeanF:    GoodNigit Harry!
2026-05-28 08:00:29.205 DeanF:    Updated one hour and 8 minutes prior to last poll at 28/05/2026 08:58:17
2026-05-28 08:00:29.205 DeanF:    
2026-05-28 08:00:29.205 DeanF:    METAR EGSH 280750Z 11011KT CAVOK 18/12 Q1025
2026-05-28 08:00:29.204 DeanF:    
2026-05-28 08:00:29.204 DeanF:    Direction : ESE
2026-05-28 08:00:29.204 DeanF:    Wind : Moderate breeze strength force 4, speed 11 knots 
2026-05-28 08:00:29.204 DeanF:    Visibility : Daylight, 6+ miles
2026-05-28 08:00:29.204 DeanF:    Clouds : Ceiling and visibility OK 
2026-05-28 08:00:29.204 DeanF:    Humidity : 68 % 
2026-05-28 08:00:29.204 DeanF:    Temperature: 18 C 
2026-05-28 08:00:29.204 DeanF:    Pressure: 1025 mb 
2026-05-28 08:00:29.204 DeanF:    NORWICH, UNITED KINGDOM 
2026-05-28 08:00:29.204 DeanF:    EGSH NORWICH INTERNATIONAL AIRPORT, 
